"ProjectId","BudgetItemId","AREA GROUP","BUDGETED COST","BudgetId","CATEGORY","CLIENT","DESCRIPTION","ELEMENT ID","ELEMENT KEY","END DATE","INVOICE GROUP","MARKUP IN %","NOTES","PAYMENT STATUS","PAYMENT TERMS","PROJECTID","QUANTITY","UNIT","START DATE","TITLE","TOTAL COST","VENDOR"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","84209816-a11f-4562-b2ea-6395549346b4","LABOR-ALL","1000","96c7ee91-955e-491a-a17d-c204af382c83","LABOR","RMC","PRODUCTION PICKUPS CREW 2X 10HR DAY","LABOR-0003","M2B-0005","2025-06-16 00:00:00","PRODUCTION WIDE LABOR","0.2491","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","1249.1","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","87fb7887-fd48-422e-b15f-09cd13b0c08b","FABRICATION-ALL","1350","96c7ee91-955e-491a-a17d-c204af382c83","FABRICATION","T&C RENTALS","""MOUNTAIN SHAPE LUAN CUT DETAIL PANELS ""","FABRICATION-0004","M2B-0027","2025-06-23 00:00:00","TIMBO PHOTO OP","0.3499","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","1822.36","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","8b91ed70-bd89-43da-ad1b-f2db5e4a1dcb","FABRICATION-ALL","715","96c7ee91-955e-491a-a17d-c204af382c83","FABRICATION","T&C RENTALS","""WORLD MAP SCENIC WALL UPGRADE CNC WOOD ""","FABRICATION-0012","M2B-0066","2025-06-23 00:00:00","""VOYAGE VISTA PHOTO OP ""","1.5384","*UPGRADED* TO SCENIC MAP HANGING WALL UNITS","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","1100","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","8e311d17-0b8e-433e-a081-c7eaecb890ce","LABOR-ALL","4500","96c7ee91-955e-491a-a17d-c204af382c83","LABOR","RMC","""ONSITE INSTALLATION TEAM 2X GUYS ""","LABOR-0006","M2B-0019","2025-06-22 00:00:00","PRODUCTION WIDE LABOR","1.0875","""2X DRAPERY ARTIST CREW 3X DAYS ""","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-18 00:00:00","MB2 Tahoe","9393.75","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","8ec55973-540a-40d4-9d9d-72f4f0c49066","LABOR-ALL","455","96c7ee91-955e-491a-a17d-c204af382c83","LABOR","RMC","*ADD ON OT 062025 3X CREW","LABOR-0007","M2B-0020","2025-06-20 00:00:00","PRODUCTION WIDE LABOR","1.7302","ADDITIONAL FEE- INVOICE 002 *BANQUET DELAY*","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-20 00:00:00","MB2 Tahoe","787.25","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","995fbef4-c613-4088-b86b-7b5708f35b68","DESIGN-ALL","0","96c7ee91-955e-491a-a17d-c204af382c83","DESIGN","T&C RENTALS","EVENT DESIGN + PRE-PRODUCTION BUDGET CREATION","DESIGN-0002","M2B-0017","2025-05-20 00:00:00","PRODUCTION WIDE DESIGN","1","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-05-13 00:00:00","MB2 Tahoe","5000","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","9e6fdf51-a364-4af5-93af-e586a6314602","LABOR-ALL","400","96c7ee91-955e-491a-a17d-c204af382c83","LABOR","RMC","""TRUCKING PRE- PACK DAY CREW 2X ""","LABOR-0001","M2B-0002","2025-06-17 00:00:00","PRODUCTION WIDE LABOR","0.4022","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","560.88","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","9ffa0caa-6868-460c-8565-78f809acff43","FABRICATION-ALL","550","96c7ee91-955e-491a-a17d-c204af382c83","FABRICATION","T&C RENTALS","SCENIC ASSEMBLY - PREP- PACK","FABRICATION-0006","M2B-0031","2025-06-16 00:00:00","TIMBO PHOTO OP","0.3499","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","742.44","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","a0bfd4de-2863-4114-8a00-50d1062ebae2","FABRICATION-ALL","1200","96c7ee91-955e-491a-a17d-c204af382c83","FABRICATION","T&C RENTALS","SCENIC FAUX SLAT WALL FABRIC SKIN [ 10FT X 10FT ]","FABRICATION-0002","M2B-0025","2025-06-23 00:00:00","TIMBO PHOTO OP","0.3499","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","1619.88","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","a646664a-845e-4d6f-b4e2-979aa3601b0e","LIGHTING-ALL","866.19","96c7ee91-955e-491a-a17d-c204af382c83","LIGHTING","T&C RENTALS","""*ADDITION 2X FOGGERS STAGE SETUP* ""","LIGHTING-0003","M2B-0043","2025-06-23 00:00:00","STARLIGHT GALAXY","0.1116","""ADDITIONAL FEE- INVOICE 002 ""","""PAID ""","NET 15","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","975","MYLG STUDIO"
